RecordID,RACEID,CO,JUR,CNTYNAME,YEAR,DATE,PLACE,CSD,OFFICE,RECODE_OFFICE,AREA,TERM,VOTE#,LAST,FIRST,BALDESIG,INC,NUM_INC,CAND#, VOTES ,WRITEIN, SUMVOTES , TOTVOTES ,PERCENT,ELECTED,RVOTES,RUNOFF,CHECKRUNOFF,RCV,Multi_RaceID,Multi_CandID,Multi_CO, Indivtotal_votes , Multitotal_votes ,Total_writein, Newtotvotes ,Rindivto,Newelected
202400933,338,1,2,ALAMEDA,2024,3/5/24,Oakland,0,CITY AUDITOR,6,,Short,1,Houston,Michael,Acting City of Oakland Auditor,Y,1,1," 59,227 ",0," 59,227 "," 59,227 ",100.0%,1,1,0,0,Y,202400338,202400933,0," 59,227 "," 59,227 ",0," 59,227 ",1,1
202400001,1,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,1,Full,1,Haubert,David G.,Alameda County Supervisor,Y,1,1," 41,038 ",0," 41,038 "," 41,038 ",100.0%,1,1,0,0,0,202400001,202400001,0," 41,038 "," 41,038 ",0," 41,038 ",1,1
202400002,2,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,2,Short,1,Márquez,Elisa,Appointed Alameda County Supervisor,Y,1,1," 31,034 ",0," 31,034 "," 31,034 ",100.0%,1,1,0,0,0,202400002,202400002,0," 31,034 "," 31,034 ",0," 31,034 ",1,1
202400003,3,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,4,Full,1,Esteen,Jennifer,Registered Psychiatric Nurse,N,0,2," 22,400 ",0," 57,007 "," 57,007 ",39.3%,2,2,0,0,0,202400003,202400003,0," 22,400 "," 57,007 ",0," 57,007 ",2,2
202400004,3,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,4,Full,1,Miley,Nate,Alameda County Supervisor District 4,Y,1,2," 34,607 ",0," 57,007 "," 57,007 ",60.7%,1,1,0,0,0,202400003,202400004,0," 34,607 "," 57,007 ",0," 57,007 ",1,1
202400005,4,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,5,Full,1,Bartlett,Ben,Berkeley Councilmember/Parent,N,0,9," 13,518 ",0," 81,059 "," 81,059 ",16.7%,2,3,0,0,0,202400004,202400005,0," 13,518 "," 81,059 ",0," 81,059 ",3,2
202400006,4,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,5,Full,1,Bas,Nikki Fortunato,City Councilmember/Mother,N,0,9," 27,597 ",0," 81,059 "," 81,059 ",34.0%,3,1,1,1,0,202400004,202400006,0," 27,597 "," 81,059 ",0," 81,059 ",1,3
202400007,4,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,5,Full,1,Bauters,John J.,Victims Advocate/Councilmember,N,0,9," 16,783 ",0," 81,059 "," 81,059 ",20.7%,3,2,1,1,0,202400004,202400007,0," 16,783 "," 81,059 ",0," 81,059 ",2,3
202400008,4,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,5,Full,1,Berrick,Ken,Member Board of Education 3rd Trustee Area,N,0,9," 7,520 ",0," 81,059 "," 81,059 ",9.3%,2,4,0,0,0,202400004,202400008,0," 7,520 "," 81,059 ",0," 81,059 ",4,2
202400009,4,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,5,Full,1,Farmer,Omar,County Commissioner,N,0,9," 1,240 ",0," 81,059 "," 81,059 ",1.5%,2,8,0,0,0,202400004,202400009,0," 1,240 "," 81,059 ",0," 81,059 ",8,2
202400010,4,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,5,Full,1,Hodge,Gregory,Non-Profit Executive,N,0,9," 3,419 ",0," 81,059 "," 81,059 ",4.2%,2,6,0,0,0,202400004,202400010,0," 3,419 "," 81,059 ",0," 81,059 ",6,2
202400011,4,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,5,Full,1,Moore,Chris,Community Volunteer/Accountant,N,0,9," 7,428 ",0," 81,059 "," 81,059 ",9.2%,2,5,0,0,0,202400004,202400011,0," 7,428 "," 81,059 ",0," 81,059 ",5,2
202400012,4,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,5,Full,1,Pechenuk,Gerald,No Ballot Designation,N,0,9, 305 ,0," 81,059 "," 81,059 ",0.4%,2,9,0,0,0,202400004,202400012,0, 305 ," 81,059 ",0," 81,059 ",9,2
202400013,4,1,1,ALAMEDA,2024,3/5/24,Alameda,0,COUNTY SUPERVISOR,1,5,Full,1,Plimier,Lorrel,Attorney/Data Scientist,N,0,9," 3,249 ",0," 81,059 "," 81,059 ",4.0%,2,7,0,0,0,202400004,202400013,0," 3,249 "," 81,059 ",0," 81,059 ",7,2
202403710,1379,1,3,ALAMEDA,2024,3/5/24,Alameda County Office of Education,0,SCHOOL BOARD MEMBER,3,2,Full,1,Lewis,John,Construction Manager/Coachman,N,0,2," 6,943 ",0," 33,580 "," 33,580 ",20.7%,2,2,0,0,0,202401379,202403710,0," 6,943 "," 33,580 ",0," 33,580 ",2,2
202403711,1379,1,3,ALAMEDA,2024,3/5/24,Alameda County Office of Education,0,SCHOOL BOARD MEMBER,3,2,Full,1,Normand,Angela,"Member, Board of Education, 2nd Trustee Area",Y,1,2," 26,637 ",0," 33,580 "," 33,580 ",79.3%,1,1,0,0,0,202401379,202403711,0," 26,637 "," 33,580 ",0," 33,580 ",1,1
202403712,1380,1,3,ALAMEDA,2024,3/5/24,Alameda County Office of Education,0,SCHOOL BOARD MEMBER,3,5,Full,1,Angulo,"Guadalupe ""Lupe""",Parent,N,0,3," 7,521 ",0," 26,072 "," 26,072 ",28.8%,2,2,0,0,0,202401380,202403712,0," 7,521 "," 26,072 ",0," 26,072 ",2,2
202403713,1380,1,3,ALAMEDA,2024,3/5/24,Alameda County Office of Education,0,SCHOOL BOARD MEMBER,3,5,Full,1,Cole,Janevette,"Member, Board of Education, 5th Trustee Area",Y,1,3," 13,338 ",0," 26,072 "," 26,072 ",51.2%,1,1,0,0,0,202401380,202403713,0," 13,338 "," 26,072 ",0," 26,072 ",1,1
202403714,1380,1,3,ALAMEDA,2024,3/5/24,Alameda County Office of Education,0,SCHOOL BOARD MEMBER,3,5,Full,1,Ramos,Joe Orlando,Retired Educator,N,0,3," 5,213 ",0," 26,072 "," 26,072 ",20.0%,2,3,0,0,0,202401380,202403714,0," 5,213 "," 26,072 ",0," 26,072 ",3,2
202403715,1381,1,3,ALAMEDA,2024,3/5/24,Alameda County Office of Education,0,SCHOOL BOARD MEMBER,3,6,Full,1,Guerrero,John,Retired VP Engineering,N,0,2," 9,989 ",0," 30,864 "," 30,864 ",32.4%,2,2,0,0,0,202401381,202403715,0," 9,989 "," 30,864 ",0," 30,864 ",2,2
202403716,1381,1,3,ALAMEDA,2024,3/5/24,Alameda County Office of Education,0,SCHOOL BOARD MEMBER,3,6,Full,1,McDonald,Eileen,"Trustee, Alameda County Board of Education",Y,1,2," 20,875 ",0," 30,864 "," 30,864 ",67.6%,1,1,0,0,0,202401381,202403716,0," 20,875 "," 30,864 ",0," 30,864 ",1,1
202400014,5,1,1,ALAMEDA,2024,3/5/24,Alameda,0,SUPERIOR JUDGE,5,12,Full,1,Fickes,Mark,Superior Court Commissioner County of Alameda,N,0,2," 133,009 ",0," 240,853 "," 240,853 ",55.2%,1,1,0,0,0,202400005,202400014,0," 133,009 "," 240,853 ",0," 240,853 ",1,1
202400015,5,1,1,ALAMEDA,2024,3/5/24,Alameda,0,SUPERIOR JUDGE,5,12,Full,1,Johnson,Michael P.,Attorney at Law,N,0,2," 107,844 ",0," 240,853 "," 240,853 ",44.8%,2,2,0,0,0,202400005,202400015,0," 107,844 "," 240,853 ",0," 240,853 ",2,2
202400016,6,1,1,ALAMEDA,2024,3/5/24,Alameda,0,SUPERIOR JUDGE,5,5,Full,1,Wiley,Terry,Attorney at Law,N,0,1," 200,601 ",0," 200,601 "," 200,601 ",100.0%,1,1,0,0,0,202400006,202400016,0," 200,601 "," 200,601 ",0," 200,601 ",1,1
202400934,339,1,2,ALAMEDA,2024,4/16/24,Berkeley,0,CITY COUNCIL,2,7,Short,1,Chang,James,Union President/Student,N,0,2, 197 ,0, 488 , 488 ,40.4%,2,2,0,0,Y,202400339,202400934,0, 197 , 488 ,0, 488 ,2,2
202400935,339,1,2,ALAMEDA,2024,4/16/24,Berkeley,0,CITY COUNCIL,2,7,Short,1,Lunaparra,Cecilia,Student/Commission Chair,N,0,2, 291 ,0, 488 , 488 ,59.6%,1,1,0,0,Y,202400339,202400935,0, 291 , 488 ,0, 488 ,1,1
202400936,340,1,2,ALAMEDA,2024,5/28/24,Berkeley,0,CITY COUNCIL,2,4,Short,1,Alpert,Soli,Rent Board Vice-Chair,N,0,4, 432 ,0," 2,270 "," 2,270 ",19.0%,2,4,0,0,Y,202400340,202400936,0, 432 ," 2,270 ",0," 2,270 ",4,2
202400937,340,1,2,ALAMEDA,2024,5/28/24,Berkeley,0,CITY COUNCIL,2,4,Short,1,Auerbach,Elana,Community Volunteer,N,0,4, 520 ,0," 2,270 "," 2,270 ",22.9%,2,3,0,0,Y,202400340,202400937,0, 520 ," 2,270 ",0," 2,270 ",3,2
202400938,340,1,2,ALAMEDA,2024,5/28/24,Berkeley,0,CITY COUNCIL,2,4,Short,1,Story,Rubén Hernández,Legislative Aide,N,0,4, 654 ,0," 2,270 "," 2,270 ",28.8%,2,2,1,0,Y,202400340,202400938,0, 654 ," 2,270 ",0," 2,270 ",2,2
202400939,340,1,2,ALAMEDA,2024,5/28/24,Berkeley,0,CITY COUNCIL,2,4,Short,1,Tregub,Igor A.,Climate Policy Director,N,0,4, 664 ,0," 2,270 "," 2,270 ",29.3%,1,1,1,0,Y,202400340,202400939,0, 664 ," 2,270 ",0," 2,270 ",1,1
202400017,7,1,1,ALAMEDA,2024,11/5/24,Alameda,0,AUDITOR,5,,Full,1,Kearney,Kevin R.,City of Alameda Auditor,Y,1,1," 27,772 ",0," 27,772 "," 27,772 ",100.0%,1,1,0,0,0,202400007,202400017,0," 27,772 "," 27,772 ",0," 27,772 ",1,1
202400940,363,1,2,ALAMEDA,2024,11/5/24,Oakland,0,CITY ATTORNEY,6,,Full,1,Harbin-Forte,Brenda,Retired Judge,N,0,2," 56,752 ",0," 137,594 "," 137,594 ",41.2%,2,2,0,0,Y,202400363,202400940,0," 56,752 "," 137,594 ",0," 137,594 ",2,2
202400941,363,1,2,ALAMEDA,2024,11/5/24,Oakland,0,CITY ATTORNEY,6,,Full,1,Richardson,Ryan,Chief City Attorney,N,0,2," 80,842 ",0," 137,594 "," 137,594 ",58.8%,1,1,0,0,Y,202400363,202400941,0," 80,842 "," 137,594 ",0," 137,594 ",1,1
