MeasID,YEAR,CO#,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,BALQUEST,RECTYPE,RECTOPIC,RECTYPENAME,RECTOPICNAME, YES , NO , TOTAL ,PERCENT,REQ,outcome,PASSFAIL,Multi_CO,Multi_MeasID, YES_sum , NO_sum , Total_sum ,Percent_sum,Outcome_sum,passfail_sum,typerec,toprec
202400001,2024,1,1,ALAMEDA,3/5/24,Alameda,0,M,A,Shall Section 36(b) of the Charter of the County of Alameda be amended to change the notification period of each civil service examination from not less than 25 days to not less than 14 calendar days?,20,42,Charter Amendment,Governance: Personnel/Labor Relations," 167,903 "," 114,432 "," 282,335 ",59.5%,M,1,Pass,0,202400001," 167,903 "," 114,432 "," 282,335 ",59.5%,1,Pass,20,40
202400002,2024,1,1,ALAMEDA,3/5/24,Alameda,0,M,B,"Shall Section 62 of the County of Alameda Charter governing the recall of elective and appointive County officers be amended by replacing the current language, in its entirety, with “California state law applicable to the recall of county officers shall govern the recall of County of Alameda elected officers”?",20,48,Charter Amendment,Governance: Elections," 182,200 "," 100,483 "," 282,683 ",64.5%,M,1,Pass,0,202400002," 182,200 "," 100,483 "," 282,683 ",64.5%,1,Pass,20,40
202400003,2024,1,1,ALAMEDA,11/5/24,Alameda,0,R,R3,Shall Pamela Price be recalled (removed) from the office of District Attorney?,50,46,Recall,Governance: Recall," 375,442 "," 221,285 "," 596,727 ",62.9%,M,1,Pass,0,202400003," 375,442 "," 221,285 "," 596,727 ",62.9%,1,Pass,50,40
202400004,2024,2,1,ALPINE,11/5/24,Alpine,0,M,G,"For the sole purpose of supporting Alpine County’s General Fund, shall an ordinance be adopted to increase the ‘hotel/motel’ tax rate upon visitors of vacation home rentals, hotels, motels, and similar facilities in Alpine County from 10% to 14% of rent charged to the visitor, providing approximately an additional $400,000 annually for the General Fund until repealed?",9,112,Transient Occupancy Tax,Revenues: Tax Creation/Incr./Contin., 488 , 232 , 720 ,67.8%,M,1,Pass,0,202400004, 488 , 232 , 720 ,67.8%,1,Pass,1,110
202400005,2024,3,1,AMADOR,11/5/24,Amador,0,M,Q,"Shall an ordinance be adopted authorizing a 3/4-cent (0.75%) sales tax on retail transactions in the unincorporated area of the County for a ten­ year period, providing approximately $3.4 million annually to be used solely for the repair, maintenance and improvement of local county roads?",4,62,Sales Tax,Transport: Roads," 5,852 "," 7,831 "," 13,683 ",42.8%,T,2,FailT,0,202400005," 5,852 "," 7,831 "," 13,683 ",42.8%,2,FailT,1,60
202400006,2024,4,1,BUTTE,11/5/24,Butte,0,M,H,"Shall the measure funding Butte County services such as maintaining emergency 911 response times; preparing for/responding to and recovering from wildfires/natural disasters; protecting abused/neglected children; addressing homelessness, mental health challenges; retaining/attracting qualified firefighters/EMTs/sheriff’s deputies; preventing thefts/property crimes; supporting libraries services and for general government use by establishing a 1¢ sales tax providing $44,000,000 annually until ended by voters; requiring audits/spending disclosure/funds locally controlled, be adopted?",4,100,Sales Tax,General Services," 60,984 "," 29,097 "," 90,081 ",67.7%,M,1,Pass,0,202400006," 60,984 "," 29,097 "," 90,081 ",67.7%,1,Pass,1,100
202400007,2024,5,1,CALAVERAS,3/5/24,Calaveras,0,M,A,"To fund local fire districts and the City of Angels Camp Fire Department for staffing, training, equipment, and other costs, shall the measure enacting a one percent (1%) transactions and use (sales) tax on all sales of tangible personal property sold at retail in Calaveras County, including the City of Angels Camp, generating approximately $5M annually, without expiration, and increasing appropriation limits consistent with the increased revenue through fiscal year 2027/28, be adopted?",4,33,Sales Tax,Safety: Fire," 9,587 "," 7,832 "," 17,419 ",55.0%,M,1,Pass,0,202400007," 9,587 "," 7,832 "," 17,419 ",55.0%,1,Pass,1,30
202400008,2024,5,1,CALAVERAS,3/5/24,Calaveras,0,M,B,"Shall the measure to renew the Calaveras County Abandoned Vehicle Abatement Program through March 5, 2033 along with its associated annual fees (one dollar per vehicle registered in Calaveras County and an additional two dollars for certain commercial vehicles), which are used to fund the continued removal and disposal of abandoned and wrecked vehicles found in Calaveras County, be adopted?",70,112,Ordinance,Revenues: Tax Creation/Incr./Contin.," 10,725 "," 6,492 "," 17,217 ",62.3%,T,2,FailT,0,202400008," 10,725 "," 6,492 "," 17,217 ",62.3%,2,FailT,70,110
202400009,2024,5,1,CALAVERAS,11/5/24,Calaveras,0,M,C,"Shall the measure to renew the Calaveras County Abandoned Vehicle Abatement Program through November 5, 2033 along with its associated annual fees (one dollar per vehicle registered in Calaveras County and an additional two dollars for certain commercial vehicles), which are used to fund the continued removal and disposal of abandoned and wrecked vehicles found in Calaveras County, be adopted?",70,112,Ordinance,Revenues: Tax Creation/Incr./Contin.," 18,054 "," 7,231 "," 25,285 ",71.4%,M,1,Pass,0,202400009," 18,054 "," 7,231 "," 25,285 ",71.4%,1,Pass,70,110
202400010,2024,5,1,CALAVERAS,11/5/24,Middle River CSD,1,M,E,"Shall the measure to maintain Middle River Community Services District's roads, impose a new special tax replacing the existing one of $100.00 per improved lot and $75.00 per unimproved lot without expiration at $200.00 per improved lot and $150.00 per unimproved lot, generating an approximate additional $13,000.00 annually and increasing the District's appropriations limit equal to revenue received, be adopted?",3,62,Property Tax,Transport: Roads, 45 , 20 , 65 ,69.2%,M,1,Pass,0,202400010, 45 , 20 , 65 ,69.2%,1,Pass,1,60
202400011,2024,9,1,EL DORADO,11/5/24,Blanchard Estates Zone of Benefit,0,M,J,"Shall the measure to levy an annual special tax in an amount of $1,000.00 on each parcel of land within the Blanchard Estates Zone of Benefit commencing fiscal year 2025/2026 and continuing for an unlimited duration, to be used only for road, drainage and landscape maintenance and generating an annual revenue of approximately $12,000.00, be adopted?",3,62,Property Tax,Transport: Roads, 6 , 9 , 15 ,40.0%,T,2,FailT,0,202400011, 6 , 9 , 15 ,40.0%,2,FailT,1,60
